name,url,brief_description,features,pros,cons,user_reviews,pricing,rating,category,source_site
The #1 Professional Network for AI Agents,https://agent.ai#main,"Where professionals build, find, and use AI agents that get real work done.",25.2K tasks completed; 598.9K tasks completed; 526 tasks completed; 13K tasks completed; 10.3K tasks completed,,,,Company Research AgentBy @dharmesh1 credit per task25.2K tasks completed4.28 (2728 reviews)Go; 1 credit per task; Flux Image GeneratorBy @dharmesh1 credit per task598.9K tasks completed4.26 (21883 reviews)Go,4.28 (2728 reviews); 4.26 (21883 reviews); 4.38 (8 reviews),,Agent.ai
Agent Network,https://agent.ai/agents,"Where professionals build, find, and use AI agents that get real work done.",25.2K tasks completed; 598.9K tasks completed; 526 tasks completed; 13K tasks completed; 10.3K tasks completed,,,,Company Research AgentBy @dharmesh1 credit per task25.2K tasks completed4.28 (2728 reviews)Go; 1 credit per task; Flux Image GeneratorBy @dharmesh1 credit per task598.9K tasks completed4.26 (21883 reviews)Go,4.28 (2728 reviews); 4.26 (21883 reviews); 4.38 (8 reviews),,Agent.ai
The Agent.ai Blog,https://blog.agent.ai,Education and insights that make agentic AI accessible to everyone.,There are no suggestions because the search field is empty.,,,,,,,Agent.ai
Welcome,https://docs.agent.ai,"Agent.AI is the #1 Professional Network For A.I. Agents (also, the only professional network for A.I. agents).
It is a marketplace and professional network for AI agents and the people who love them.
Here, you can discover, connect with and hire AI agents to do useful things.",Support; Platform; Platform; Welcome; AI Agents Explained,,,,Marketplace Credits,Use GenAI (LLM),,Agent.ai
Blockchains Courses,https://metaschool.so/courses,"Explore and practice with blockchain courses on Ethereum, Polygon, Solana, Starknet, Flow, Stacks and more. Join the Metaschool dev community today!",,An extensive learning track to help you learn and excel in Aptos Move; An extensive learning track for developers to get started in Sui Move; Hands-on learning track that helps you master Fuel Network,"Have you ever felt limited when a project required you to work with Python but you could code in J.....; Basic understanding of JavaScript, HTML, CSS, and JavaScript, as well as some basic web development concepts like routing and state management.
Basics of how blockchains work, such as consensus mechanisms, mining, and smart contracts. You should also be familiar with some popular blockchain platforms, such as Ethereum and Solana.
Solidity is the most popular programming language for writing smart contracts. If you want to develop web3 applications, you should learn Solidity.
Problem-solving skills as you will need to be able to debug code, troubleshoot problems, and come up with creative solutions.",,"NFTs are not entirely dead. If anything, the NFT market will be worth $231 billion by 2030, as per.....",,,Metaschool
Introduction to Ocean Protocol,https://metaschool.so/courses/introduction-to-ocean-protocol,"A theoretical course by Ocean Protocol experts that teaches you all about the Ocean Protocol, its history, important dApps, architecture and features. Enroll now.",,Gain hands-on experience with Ocean Protocol. Learn to set up your development e...,,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Build Decentralized Music Streaming and Tipping Platform on ZKsync,https://metaschool.so/courses/build-music-streaming-dapp-zksync,Build a decentralized music streaming Dapp on ZKsync and use paymaster to enable the account abstraction,,,,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Build Decentralized Social Media DApp on Core,https://metaschool.so/courses/build-decentralized-social-media-dapp-on-core,Master Core blockchain: Build a fully functional social media DApp using Solidity. Perfect for developers seeking hands-on Web3 experience.,,,,,A $200M program by Core and its partners,,,Metaschool
Build Documents Management DApp on Aptos,https://metaschool.so/courses/build-documents-dapp-on-aptos,"Practical Aptos project: Learn to build, manage, and deploy a Documents Management dApp. Essential for developers entering the Aptos ecosystem.",,"Practical Aptos project: Learn to build, manage, and deploy a Documents Management dApp. Essential for developers entering the Aptos ecosystem.; Real-world problem-solving, cutting-edge tech, and practical skills all in one. Perfect for building trust in dApps!; I've really enjoyed my experience with Metaschool and have gotten a lot out of it. The content is engaging and informative, making it an effective learning platform. Highly recommend!",,,"Secure upto $25,000 in grant funding for your Project",,,Metaschool
Battle Royale â€“ Building a 1v1 Card Battle Dapp on Core,https://metaschool.so/courses/build-card-battle-dapp-on-core,Learn to build a 1v1 card battle Dapp on the Core blockchain. Master Solidity while building your first game.,,Learn to build a 1v1 card battle Dapp on the Core blockchain. Master Solidity while building your first game.; Learn to build a 1v1 card battle Dapp on the Core blockchain. Master Solidity while building your first game.,,,A $200M program by Core and its partners,,,Metaschool
Building on MANTRA Chain,https://metaschool.so/courses/building-on-mantra-chain,"Master CosmWasm development for Mantra Chain in this comprehensive course. Learn smart contract deployment, language fundamentals, and build your first project using CosmWasm and Rust.",,"Master CosmWasm development for Mantra Chain in this comprehensive course. Learn smart contract deployment, language fundamentals, and build your first project using CosmWasm and Rust.; Can be used to build applications in various domains like machine learning, finance, etc.; Learn to build the future of finance on MANTRA Chain, a cutting-edge blockchain ...",,,Free,,,Metaschool
Launching a 10K NFT collection on Core,https://metaschool.so/courses/launch-10k-nft-collection-on-core,Learn to build a 10K NFT collection on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.,,Learn to build a 10K NFT collection on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.; Learn to build a 10K NFT collection on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.,,,A $200M program by Core and its partners,,,Metaschool
Build Rock Paper Scissor Dapp on Aptos,https://metaschool.so/courses/build-dapp-on-aptos,Master Move programming on Aptos: Create a fun Rock Paper Scissors game while learning smart contract development and deployment.,,Master Move programming on Aptos: Create a fun Rock Paper Scissors game while learning smart contract development and deployment.; I really enjoyed my experience with Metaschool. The platform was user-friendly and the content was engaging and informative. I would highly recommend it to anyone interested in improving their skills !; I really enjoyed my experience with Metaschool. The platform was user-friendly and the content was engaging and informative. I would highly recommend it to anyone interested in improving their skills !,,,"Secure upto $25,000 in grant funding for your Project",,,Metaschool
Create a Fungible Token on Aptos,https://metaschool.so/courses/create-fungible-token-on-aptos,"Hands-on Aptos token creation: Learn to implement mint, transfer, burn, and other essential features in your own fungible token.",,"Hands-on Aptos token creation: Learn to implement mint, transfer, burn, and other essential features in your own fungible token.; I Learned everything from the basics to building, deploying, and interacting with fungible tokens. The hands-on experience minting, transferring, & burning tokens on Aptos was invaluable! I had no errors or complications when compiling the code!; Move boasts a simple syntax and intuitive design principles. This makes it accessible for developers to learn and use, accelerating the development process.",,,"Secure upto $25,000 in grant funding for your Project",,,Metaschool
Introduction to the zkVerify Network,https://metaschool.so/courses/introduction-to-zkVerify,"Master zkVerify, the modular blockchain for zk proof verification, unlocking the secrets of zero-knowledge proofs, scaling solutions, and proof submission tutorials.",,I'm highly likely to recommend Metaschool for its excellent ability to simplify complex tech concepts and make them accessible. The structured approach and practical applications make learning engaging and effective.; I'm highly likely to recommend Metaschool for its excellent ability to simplify complex tech concepts and make them accessible. The structured approach and practical applications make learning engaging and effective.; The demand for developers and experts with ZKP and zkVerify knowledge is skyrocketing. Learning zkVerify equips you with highly sought-after skills for the growing Web3 job market.,,,Free,,,Metaschool
Start Building on Core,https://metaschool.so/courses/start-building-on-core,Learn to build a Lending dApp on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.,,Learn to build a Lending dApp on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.; Iâ€™m excited to apply these new skills and continue exploring the world of blockchain development.; Learn to build a Lending dApp on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.,,,A $200M program by Core and its partners,,,Metaschool
Introduction to MANTRA Chain,https://metaschool.so/courses/introduction-to-mantra-chain,"Learn to build decentralized applications (dApps) on MANTRA Chain, a security-first RWA Layer 1 Blockchain bringing the financial system onchain.",,"Learn to build decentralized applications (dApps) on MANTRA Chain, a security-first RWA Layer 1 Blockchain bringing the financial system onchain.; The Introduction to MANTRA Chain course was an excellent learning experience! It provided a clear and concise overview of the MANTRA ecosystem, making it easy to understand even for beginners.; The Introduction to MANTRA Chain course was an excellent learning experience! It provided a clear and concise overview of the MANTRA ecosystem, making it easy to understand even for beginners.",,,Free,,,Metaschool
Start Building on Aptos,https://metaschool.so/courses/start-building-on-aptos,"A practical, interactive, and gamified course to help you get building projects using the Aptos Move programming language. Enrol now and start learning.",,"A practical, interactive, and gamified course to help you get building projects using the Aptos Move programming language. Enrol now and start learning.; I like the experience of learning by doing; I like the experience of learning by doing",,,"Secure upto $25,000 in grant funding for your Project",,,Metaschool
Introduction to Core,https://metaschool.so/courses/introduction-to-core,"Explore Core: The blockchain fusing Bitcoin's security with smart contracts. Understand its unique consensus, Non-Custodial BTC staking, and the future of BTCfi.",,It's lovely here for whoever wanna learn and dive into the earth of Web3; It's lovely here for whoever wanna learn and dive into the earth of Web3; It's lovely here for whoever wanna learn and dive into the earth of Web3,,,A $200M program by Core and its partners,,,Metaschool
Introduction to Aptos Platform,https://metaschool.so/courses/introduction-to-aptos-platform,"Dive into Aptos blockchain: Learn its origins, architecture, and real-world applications. Essential for blockchain enthusiasts and developers alike.",,"Dive into Aptos blockchain: Learn its origins, architecture, and real-world applications. Essential for blockchain enthusiasts and developers alike.; Metaschool makes learning a easier than I thought; Metaschool makes learning a easier than I thought",Great content but need a cool videos to interact with concept too. Thank you; Great content but need a cool videos to interact with concept too. Thank you,,"Secure upto $25,000 in grant funding for your Project",,,Metaschool
Build a Loyalty Contract with Move on Sui,https://metaschool.so/courses/build-a-loyalty-contract-with-move-on-sui,"A holistic, hands-on and free course on creating a loyalty program for your decentralized exchange (DEX) application on the Sui blockchain. Enroll now.",,"Meta School provides the best learning experience.; Simple syntax and design principles make it easy for developers to learn and use; In this course, youâ€™ll learn how to create your own decentralized exchange appli...",,,"A holistic, hands-on and free course on creating a loyalty program for your decentralized exchange (DEX) application on the Sui blockchain. Enroll now.",,,Metaschool
Build a Token Dex dApp On the Sui Blockchain,https://metaschool.so/courses/build-token-swapp-dapp-sui-blockchain-move-language,A hands-on course that equips you with the skill to build an efficient and quality token swap dApp on the Sui blockchain.,,A hands-on course that equips you with the skill to build an efficient and quality token swap dApp on the Sui blockchain.; A beautiful place to start learning about new technologies and cool things.; Simple syntax and design principles make it easy for developers to learn and use,,,Free,,,Metaschool
Build a One Piece Personality dApp With Solidity,https://metaschool.so/courses/one-piece-personality-dapp-solidity,Learn to code the One Piece Personality dApp with Solidity. Enroll now if youâ€™re a true anime lover.,,Learn to code the One Piece Personality dApp with Solidity. Enroll now if youâ€™re a true anime lover.; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...,,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Build a Semi-Fungible ERC404 Tokens' Marketplace,https://metaschool.so/courses/build-marketplace-erc404-tokens,A free and practical course that teaches you how to build a marketplace for semi-fungible ERC-404 tokens via hands-on learning. Enroll now.,,"A free and practical course that teaches you how to build a marketplace for semi-fungible ERC-404 tokens via hands-on learning. Enroll now.; This is another milestone in my web3 development, I learned ERC404; Build a Hogwarts Sorting Hat dApp to elevate your dApp building skills with a to...",,,A free and practical course that teaches you how to build a marketplace for semi-fungible ERC-404 tokens via hands-on learning. Enroll now.,,,Metaschool
Build an Airbnb dApp on Fuel Network,https://metaschool.so/courses/building-airbnb-dapp-fuel,"A latest, practical and hands-on course on the workings of Fuel Network. Enroll now to build an Airbnb-resembling dApp on the Fuel blockchain.",,"If youâ€™re a developer looking to add Fuel Blockchain to your skillset, this is t...",,,Free,,,Metaschool
Build on Move on Sui and Explore its Applications,https://metaschool.so/courses/build-on-move-on-sui-and-explore-its-applications,This self-paced course teaches you all about the practical applications of Move on Sui and explore its limitless possibilities. Enroll today to get started.,,I was able to learn basic programming fundamentals in creating Move on Sui contracts.; This course provides all the basic knowledge to start developing with the Move language in a very simple and interesting way. Good for beginners in their web3 learning.; I was able to learn basic programming fundamentals in creating Move on Sui contracts.,The course is well made. Need slight updations but overall understood well.; The course is well made. Need slight updations but overall understood well.; The course is well made. Need slight updations but overall understood well.,,Free,,,Metaschool
Build a Petition Filing dApp on the Fuel Network,https://metaschool.so/courses/building-petition-dapp-fuel,"This course teaches devs to build a petition dApp on Fuel, a modular chain. Enroll now to upskill yourself and learn more about modularity in blockchains.",,"This course teaches devs to build a petition dApp on Fuel, a modular chain. Enroll now to upskill yourself and learn more about modularity in blockchains.; great learning curve and a lot of help, examples given are still too technical for newbie..thanks; Great Experience to learn about Fuel ecosystem.",,,Free,,,Metaschool
"Learn Everything About Sui, its Concepts and Protocols",https://metaschool.so/courses/learn-everything-about-sui-its-concepts-and-protocols,"This course covers everything from Sui fundamentals to protocols, giving you a deep dive into what makes Sui a leading choice for Web3 devs.",,"I really like the course as a great introduction about Sui blockchain , i am looking forward to learn more about Sui blockchain in the advance course.; I really like the course as a great introduction about Sui blockchain , i am looking forward to learn more about Sui blockchain in the advance course.; Simple syntax and design principles make it easy for developers to learn and use",,,This course is a basic introduction to the Sui blockchain. Each topic was explained in a friendly tone at an easy-to-follow pace that made it easy for us to absorb the material introduced. And above a,,,Metaschool
Build Hogwarts Sorting Hat dApp on Polygon,https://metaschool.so/courses/build-hogwarts-sorting-cap-dapp-on-polygon-mumbai,Learn to code the Hogwarts Sorting Hat dApp on Polygon using Solidity. Enroll now to see the magic happen!,,Learn to code the Hogwarts Sorting Hat dApp on Polygon using Solidity. Enroll now to see the magic happen!; Learn to code the Hogwarts Sorting Hat dApp on Polygon using Solidity. Enroll now to see the magic happen!,"A fantastic practical effort to further your understanding of Web3 concepts. Congratulations!

(P.S. as the technology stack gets updated, some parts become outdated/ do not function anymore and a workaround is needed); Great course, there are many  break changes in code and need to be updated.; A fantastic practical effort to further your understanding of Web3 concepts. Congratulations!

(P.S. as the technology stack gets updated, some parts become outdated/ do not function anymore and a workaround is needed)",,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Build a Gamer DAO on the Q Blockchain,https://metaschool.so/courses/create-gamer-dao-solidity-q-blockchain,Fuel your gaming passion by building an immersive Gamer DAO on the Q Blockchain with this course. Q Tokens & $6000 prize pot up for grabs.,,"Meta School's emphasis on practical learning is a game-changer. The interactive nature of the courses, including hands-on projects and real-world case studies, ensures that you not only understand the theory but can also apply it in real-life cases; Meta School's emphasis on practical learning is a game-changer. The interactive nature of the courses, including hands-on projects and real-world case studies, ensures that you not only understand the theory but can also apply it in real-life cases; Meta School's emphasis on practical learning is a game-changer. The interactive nature of the courses, including hands-on projects and real-world case studies, ensures that you not only understand the theory but can also apply it in real-life cases",,,Fuel your gaming passion by building an immersive Gamer DAO on the Q Blockchain with this course. Q Tokens & $6000 prize pot up for grabs.,,,Metaschool
Create a Fungible Token on Algorand with JS,https://metaschool.so/courses/create-a-fungible-token-on-algorand-with-js,"An interactive, practical and gamified course on minting your first fungible token in JavaScript on the Algorand blockchain. Enroll now to get started.",,it is amazing with the fact that anyone in the world can learn web 3.0 knowledge with this platform even in  developing countries because i am a Malawian and i have managed to gain access to this course and complete it; it was really good to learn about algorand devleopment and more about managing stuff in blockchain. thanks for making this course free.; I have learned about Algorand blockchain. Happy :),"Learned lot of new things, on which I need to learn more to build something with that knowledge. Hope continuing Metaschool will help me with that.; Learned lot of new things, on which I need to learn more to build something with that knowledge. Hope continuing Metaschool will help me with that.",,it was really good to learn about algorand devleopment and more about managing stuff in blockchain. thanks for making this course free.,,,Metaschool
Mint Pokemon Card NFTs on Tezos Blockchain,https://metaschool.so/courses/create-pokemon-cards-nfts-tezos-blockchain,An interactive and hands-on course that uses the IFPS tool to help you create funky Pokemon Cards on the Tezos Blockchain. Enroll today.,,very informative and  made easy to learn.; It was a amazing course to learn about minting nfts and knowledge about tezos blockchain; very informative and  made easy to learn.,,,Free,,,Metaschool
Create an ERC-20 Token in Solidity on Astar Network,https://metaschool.so/courses/create-token-solidity-astar-blockchain,A comprehensive project-based course that equips you with the essentials needed to create an ERC-20 token on Astar using Solidity. Sign up now.,,"wish to learn more about smart contract thanks have created my own token from shibuya; It was great learning, still I am not sure the use of creating these.; wish to learn more about smart contract thanks have created my own token from shibuya",A comprehensive project-based course that equips you with the essentials needed to create an ERC-20 token on Astar using Solidity. Sign up now.; A comprehensive project-based course that equips you with the essentials needed to create an ERC-20 token on Astar using Solidity. Sign up now.,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Create an ERC-20 Token in Solidity on Celo,https://metaschool.so/courses/create-token-solidity-celo-blockchain,"A results-oriented, hands-on course that employs the Solidity language to create an ERC-20 token and deploy it on the Celo blockchain. Enroll today.",,it is just a cool place to learn.; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...,,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Create a Fungible Token with Sui Move,https://metaschool.so/courses/create-fungible-token-sui-blockchain-move-language,"Sui is a powerful L1 chain that when paired with its native lang, Move, is unstoppable. Learn the basics of Sui in this course to create your own tokens.",,"Sui is a powerful L1 chain that when paired with its native lang, Move, is unstoppable. Learn the basics of Sui in this course to create your own tokens.; Excited to innovate with what I've learned.; Excited to innovate with what I've learned.",its amazing over all but I dont think users should be required to share on their socials to be able to complete the course.; its amazing over all but I dont think users should be required to share on their socials to be able to complete the course.,,Free,,,Metaschool
Create an ERC-20 Token in Solidity on Avalanche,https://metaschool.so/courses/create-erc-20-token-avalanche-network,Avalanche Network is an open-source PoS blockchain with smart contract functionality. Take this popular course to make ERC-20 tokens without limits.,,"In this course, youâ€™ll learn how to create your own decentralized exchange appli...; In this course, youâ€™ll learn how to create your own decentralized exchange appli...",,,"The average salary for a Solidity developer is over $150,000 p/a",,,Metaschool
Create Your First ERC-20 Token in Cairo on Starknet,https://metaschool.so/courses/create-erc20-token-on-starknet-in-cairo-language,Looking to build with a Layer 2 network over Ethereum? Create a Starknet ERC-20 token in the Cairo 1.0 language with this beginner-friendly tutorial.,,ðŸš€ Loved the hands-on approach and clear instructions. I highly recommend it to anyone diving into blockchain dev! #StarkNet #Blockchain #LearnToEarn; ðŸš€ Loved the hands-on approach and clear instructions. I highly recommend it to anyone diving into blockchain dev! #StarkNet #Blockchain #LearnToEarn; ðŸš€ Loved the hands-on approach and clear instructions. I highly recommend it to anyone diving into blockchain dev! #StarkNet #Blockchain #LearnToEarn,,,Free,,,Metaschool
Create a Token in Clarity on Stacks Blockchain,https://metaschool.so/courses/create-token-clarity-stacks-blockchain,A hands-on course for devs to create their first token on Stacks. Learn Clarity programming language and build on the Stacks Blockchain. Register now!,,A hands-on course for devs to create their first token on Stacks. Learn Clarity programming language and build on the Stacks Blockchain. Register now!; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...,Have you ever felt limited when a project required you to work with Python but y...; Have you ever felt limited when a project required you to work with Python but y...; Have you ever felt limited when a project required you to work with Python but y...,,Free,,,Metaschool
Write Your First Smart Contract on Flow Blockchain,https://metaschool.so/courses/write-fungible-token-flow-blockchain,Get familiar with the Flow Blockchain and Cadence programming language by writing a smart contract and shipping a fungible token with this 4 hour course.,,Metaschool is an inspiration to newbees  in the Blockchain industry. It exposes them to series of platforms where they can learn the technology at no cost. Continue the good work!; Metaschool is an inspiration to newbees  in the Blockchain industry. It exposes them to series of platforms where they can learn the technology at no cost. Continue the good work!,i need more advanced courses on flow blockchain; i need more advanced courses on flow blockchain,,Free,,,Metaschool
Build a Code Translator Using NextJS and OpenAI API,https://metaschool.so/courses/build-a-code-translator-using-nextjs-and-openai-api,The internet's always been a quirky place. Why should AI chatbots be formal then? Learn how to code your very own personalized AI chatbot today with this course.,,The internet's always been a quirky place. Why should AI chatbots be formal then? Learn how to code your very own personalized AI chatbot today with this course.; it is best way to learn and I recommend this for everyone who want to learn new things.; It was great to learn more about API and how to integrate them in our websites and apps.,,,Free,,,Metaschool
Build a YeBot with OpenAI API,https://metaschool.so/courses/build-a-yebot-with-openai-api,Ever wondered whether Kanye intelligence can outperform artificial intelligence? Build your own chatbot in our Kanye-themed AI prompt engineering training and find out whose intelligence reigns supreme. This detailed one-of-a-kind AI chatbot is inspired b,,,,,"NFTs are not entirely dead. If anything, the NFT market will be worth $231 billi...",,,Metaschool
Create Your Own Token on Binance,https://metaschool.so/courses/how-to-create-your-own-token-on-binance,Enroll now to learn to create and mint your own token on Binance. Interested in building dApps? Enroll today.,,"Enroll now to learn to create and mint your own token on Binance. Interested in building dApps? Enroll today.; Easy course, what a great way to learn I love it.; Easy course, what a great way to learn I love it.",,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Introduction to Polygon and its Architecture,https://metaschool.so/courses/introduction-to-polygon-and-its-architecture,"Explore key features of Polygon's Layer 2 scaling solution, and learn how it enhances scalability, security, and interoperability for decentralized applications.",,"Explore key features of Polygon's Layer 2 scaling solution, and learn how it enhances scalability, security, and interoperability for decentralized applications.; It is great learning, But some terms can be made simple.; Deep, quick, Enjoyable learning courses being offered here.",,,"The average salary for a Solidity developer is over $150,000 p/a",,,Metaschool
Develop a Blockchain with Rust on Substrate,https://metaschool.so/courses/how-to-create-your-own-blockchain,"Got a blockchain idea but donâ€™t know how to build one? Lucky for you, developing blockchains is no longer an elusive dream. Try out this course today.",,"Can be used to build applications in various domains like machine learning, finance, etc.; In this course, youâ€™ll learn how to create your own decentralized exchange appli...; If youâ€™re a developer looking to add Fuel Blockchain to your skillset, this is t...","Some steps and commands are confusing, you can make it more clear. Like in windows it needs WSL2 instead of WSL, etc. Latest version of substrate-node-template did nor work for me on WSL, so I have to update it to WSL2.; Some steps and commands are confusing, you can make it more clear. Like in windows it needs WSL2 instead of WSL, etc. Latest version of substrate-node-template did nor work for me on WSL, so I have to update it to WSL2.",,Free,,,Metaschool
Create Your Own Ethereum Token in Just 30 Mins,https://metaschool.so/courses/create-your-own-ethereum-token-in-just-30-mins,A short and helpful hands-on course on minting an Ethereum token in just under 30 minutes. Enroll now.,,"I found this course to be incredibly informative and well-organized. The material was presented in a clear and engaging manner, making it easy to stay focused and learn. Highly recommended!; I found this course to be incredibly informative and well-organized. The material was presented in a clear and engaging manner, making it easy to stay focused and learn. Highly recommended!; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...",,,"Its truly helpful 
Thankyou so much for providing this quality of education for free",,,Metaschool
Create Your Own Solana Token in 10 Minutes,https://metaschool.so/courses/create-your-own-solana-token-in-just-10-mins,Improve your token minting capabilities by enrolling in this course that helps you create a Solana token in just 10 minutes. Enroll today.,,"It was really helpful to learn basics about solana tokens.; It was really helpful to learn basics about solana tokens.; Can be used to build applications in various domains like machine learning, finance, etc.",,,Free,,,Metaschool
Build your own web3 X dApp with Solidity,https://metaschool.so/courses/build-your-own-web3-x-dapp-with-solidity,"Interested in building dApps? Begin with building the dApp of your favorite social media platform, Twitter. Enroll today.",,,,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Launch your own token on Polygon Network in 30 mins,https://metaschool.so/courses/launch-your-own-token-on-polygon-network-in-30-mins,Want to know how to develop a smart contract to create a token on Polygon? Turn your curiosity into knowledge with this beginner tutorial today.,,"I would definitely recommend Metaschool to friends or colleagues who are interested in learning about blockchain and token creation. The tutorial on how to create a token was exceptionally well explained, providing a clear and deep understanding of t; I would definitely recommend Metaschool to friends or colleagues who are interested in learning about blockchain and token creation. The tutorial on how to create a token was exceptionally well explained, providing a clear and deep understanding of t; I would definitely recommend Metaschool to friends or colleagues who are interested in learning about blockchain and token creation. The tutorial on how to create a token was exceptionally well explained, providing a clear and deep understanding of t",,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Create NFTs Using Different Token Standards,https://metaschool.so/courses/creating-nfts-using-different-token-standards,Learn the art of minting NFTs on any token standard to up your NFT game and enhance your minting skills. Enroll now.,,Learn the art of minting NFTs on any token standard to up your NFT game and enhance your minting skills. Enroll now.; good to learn the basics of the blockchain technology; good to learn the basics of the blockchain technology,Not much explanation on how to use the contract on remix. struggled with some of the requirements; Not much explanation on how to use the contract on remix. struggled with some of the requirements,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Launch your own epic NFT marketplace,https://metaschool.so/courses/launch-your-own-epic-nft-marketplace,Explore the essential steps and strategies to create & operate a successful marketplace for non-fungible tokens. Join this popular (and free) course now.,,"I'm happy at this moment, learning to mint my own NFTs here; I'm happy at this moment, learning to mint my own NFTs here; I'm happy at this moment, learning to mint my own NFTs here","This is nice, I would suggest to add more complex and complete logic to understand the actual requirements; This is nice, I would suggest to add more complex and complete logic to understand the actual requirements",,Explore the essential steps and strategies to create & operate a successful marketplace for non-fungible tokens. Join this popular (and free) course now.,,,Metaschool
Create a Horoscope Web3 NFT Application,https://metaschool.so/courses/create-a-horoscope-web3-nft-application,"This 2-hour course shows how to build a simple web app that mints NFTs on Ethereum. Mint an NFT, ship to testnet and interact with it. Ready to build?",,"I am very happy that I am one step closer to web3 through this course. Although I encountered some difficulties in the learning process, the overall experience is still very good, and it is very suitable for a novice like me.; I am very happy that I am one step closer to web3 through this course. Although I encountered some difficulties in the learning process, the overall experience is still very good, and it is very suitable for a novice like me.; I am very happy that I am one step closer to web3 through this course. Although I encountered some difficulties in the learning process, the overall experience is still very good, and it is very suitable for a novice like me.",Loved the way path is structured but content needs to be updated time to time. some of the blockchain networks are outdated and had to use alternatives to complete the lessons.; Loved the way path is structured but content needs to be updated time to time. some of the blockchain networks are outdated and had to use alternatives to complete the lessons.; Loved the way path is structured but content needs to be updated time to time. some of the blockchain networks are outdated and had to use alternatives to complete the lessons.,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Add MetaMask connect button to your react app,https://metaschool.so/courses/add-metamask-connect-button-to-your-react-app,A mini project to help you add connect MetaMask wallet functionality in your app.,,I've learned to connect to the MetaMask wallet with Ethers.js in React. Super happy!; I really enjoy learning about web 3; I've learned to connect to the MetaMask wallet with Ethers.js in React. Super happy!,,,Free,,,Metaschool
Write Your First Solidity Smart Contract on Ethereum,https://metaschool.so/courses/writing-your-first-hello-world-contract-in-solidity,Looking for an easy Solidity tutorial? Enroll in this 'best ranked' course on developing a smart contract on Ethereum with Solidity programming language.,,metaschool still needs to provide a more guidance in the learning process; metaschool still needs to provide a more guidance in the learning process,metaschool still needs to provide a more guidance in the learning process; metaschool still needs to provide a more guidance in the learning process,,"The average salary for a Solidity developer is over $150,000 p/a",,,Metaschool
Write an Elon Musk NFT Smart Contract on OpenSea,https://metaschool.so/courses/how-to-write-a-smart-contract-and-mint-elon-musk-nft-on-opensea,Ever wanted to mint an NFT on OpenSea? Learn how by writing an ERC-721 token smart contract with this popular tutorial. 8500+ developers enrolled.,,Ever wanted to mint an NFT on OpenSea? Learn how by writing an ERC-721 token smart contract with this popular tutorial. 8500+ developers enrolled.; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...; The best way to learn Solidity is to start coding in Solidity. Do yourself a fav...,Content needs to evolve.  Or version numbers of npm libraries should be shared. There are breking changes in OpenZeppellin 5 and ethers library.; Content needs to evolve.  Or version numbers of npm libraries should be shared. There are breking changes in OpenZeppellin 5 and ethers library.,,"The average salary for a Solidity developer is over $150,000 p/a",,,Metaschool
Learn everything about NFTs,https://metaschool.so/courses/learn-everything-about-nfts,"Dive deep into NFTs: Understand their workings, uses, and creation. Perfect for beginners and aspiring NFT developers alike.",,"I got to learn many new things about NFTs like what is the purpose and how its used. And, I found the documentation very concise and insightful.; Unlike other resources on the internet, metaschool makes Web3 concepts more easy to learn; I got to learn many new things about NFTs like what is the purpose and how its used. And, I found the documentation very concise and insightful.",,,"NFTs are not entirely dead. If anything, the NFT market will be worth $231 billi...",,,Metaschool
